MatchID;Time (Brazil);Date;Stage;Stadium;City;Home Team;Home Team Goals;Away Team Goals;Away Team;Win Conditions;Penalty;Win;Total Goals;Attendance
50;11:00;2018-07-01;Round of 16;Luzhniki Stadium;Moscow;Spain;1;1;Russia;Penalty;(3-4);Russia;2;78011
51;15:00;2018-07-01;Round of 16;Nizhny Novgorod Stadium;Nizhni Novgorod;Croatia;1;1;Denmark;Penalty;(3-2);Croatia;2;40851
52;11:00;2018-07-02;Round of 16;Samara Arena;Samara;Brazil;2;0;Mexico;Normal Time;;Brazil;2;41970
53;15:00;2018-07-02;Round of 16;Rostov Arena;Rostov-on-Don;Belgium;3;2;Japan;Normal Time;;Belgium;5;41466
54;11:00;2018-07-03;Round of 16;Saint Petersburg Stadium;St. Petersburg;Sweden;1;0;Switzerland;Normal Time;;Sweden;1;64042
55;15:00;2018-07-03;Round of 16;Spartak Stadium;Moscow;Colombia;1;1;England;Penalty;(3-4);England;2;44190
56;11:00;2018-07-06;Quarter-finals;Nizhny Novgorod Stadium;Nizhni Novgorod;Uruguay;0;2;France;Normal Time;;France;2;43319
57;15:00;2018-07-06;Quarter-finals;Kazan Arena;Kazan;Brazil;1;2;Belgium;Normal Time;;Belgium;3;42873
58;11:00;2018-07-07;Quarter-finals;Samara Arena;Samara;Sweden;0;2;England;Normal Time;;England;2;39991
59;15:00;2018-07-07;Quarter-finals;Fisht Stadium;Sochi;Russia;2;2;Croatia;Penalty;(3-4);Croatia;4;44287
60;15:00;2018-07-10;Semi-finals;Saint Petersburg Stadium;St. Petersburg;France;1;0;Belgium;Normal Time;;France;1;64286
61;15:00;2018-07-11;Semi-finals;Luzhniki Stadium;Moscow;Croatia;2;1;England;Extend;;Croatia;3;78011
62;11:00;2018-07-14;Play-off for third place;Saint Petersburg Stadium;St. Petersburg;Belgium;2;0;England;Normal Time;;Belgium;2;64406
63;12:00;2018-07-15;Final;Luzhniki Stadium;Moscow;France;4;2;Croatia;Normal Time;;France;6;78011
